+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
| 0 | 1 |     NEW |     READY |
| 0 | 4 |     NEW |     READY |
| 0 | 1 |   READY |   RUNNING |
| 1 | 5 |     NEW |     READY |
| 2 | 7 |     NEW |     READY |
| 3 | 9 |     NEW |     READY |
| 10 | 1 | RUNNING |   WAITING |
| 10 | 4 |   READY |   RUNNING |
| 15 | 1 | WAITING |     READY |
| 35 | 4 | RUNNING |   WAITING |
| 35 | 1 |   READY |   RUNNING |
| 45 | 1 | RUNNING |   WAITING |
| 45 | 4 | WAITING |     READY |
| 45 | 4 |   READY |   RUNNING |
| 50 | 1 | WAITING |     READY |
| 70 | 4 | RUNNING |   WAITING |
| 70 | 1 |   READY |   RUNNING |
| 80 | 1 | RUNNING |   WAITING |
| 80 | 4 | WAITING |     READY |
| 80 | 4 |   READY |   RUNNING |
| 85 | 1 | WAITING |     READY |
| 105 | 4 | RUNNING |   WAITING |
| 105 | 1 |   READY |   RUNNING |
| 115 | 1 | RUNNING |   WAITING |
| 115 | 4 | WAITING |     READY |
| 115 | 4 |   READY |   RUNNING |
| 120 | 1 | WAITING |     READY |
| 140 | 4 | RUNNING |   WAITING |
| 140 | 1 |   READY |   RUNNING |
| 150 | 1 | RUNNING |   WAITING |
| 150 | 4 | WAITING |     READY |
| 150 | 4 |   READY |   RUNNING |
| 155 | 1 | WAITING |     READY |
| 175 | 4 | RUNNING |   WAITING |
| 175 | 1 |   READY |   RUNNING |
| 185 | 1 | RUNNING |   WAITING |
| 185 | 4 | WAITING |     READY |
| 185 | 4 |   READY |   RUNNING |
| 190 | 1 | WAITING |     READY |
| 210 | 4 | RUNNING |   WAITING |
| 210 | 1 |   READY |   RUNNING |
| 220 | 1 | RUNNING |   WAITING |
| 220 | 4 | WAITING |     READY |
| 220 | 4 |   READY |   RUNNING |
| 225 | 1 | WAITING |     READY |
| 245 | 4 | RUNNING |   WAITING |
| 245 | 1 |   READY |   RUNNING |
| 255 | 1 | RUNNING |   WAITING |
| 255 | 4 | WAITING |     READY |
| 255 | 4 |   READY |   RUNNING |
| 260 | 1 | WAITING |     READY |
| 280 | 4 | RUNNING | TERMINATED |
| 280 | 1 |   READY |   RUNNING |
| 290 | 1 | RUNNING |   WAITING |
| 290 | 5 |   READY |   RUNNING |
| 295 | 1 | WAITING |     READY |
| 310 | 5 | RUNNING |   WAITING |
| 310 | 1 |   READY |   RUNNING |
| 320 | 1 | RUNNING |   WAITING |
| 320 | 5 | WAITING |     READY |
| 320 | 5 |   READY |   RUNNING |
| 325 | 1 | WAITING |     READY |
| 340 | 5 | RUNNING |   WAITING |
| 340 | 1 |   READY |   RUNNING |
| 350 | 1 | RUNNING |   WAITING |
| 350 | 5 | WAITING |     READY |
| 350 | 5 |   READY |   RUNNING |
| 355 | 1 | WAITING |     READY |
| 370 | 5 | RUNNING |   WAITING |
| 370 | 1 |   READY |   RUNNING |
| 380 | 1 | RUNNING |   WAITING |
| 380 | 5 | WAITING |     READY |
| 380 | 5 |   READY |   RUNNING |
| 385 | 1 | WAITING |     READY |
| 400 | 5 | RUNNING |   WAITING |
| 400 | 1 |   READY |   RUNNING |
| 410 | 1 | RUNNING |   WAITING |
| 410 | 5 | WAITING |     READY |
| 410 | 5 |   READY |   RUNNING |
| 415 | 1 | WAITING |     READY |
| 430 | 5 | RUNNING | TERMINATED |
| 430 | 1 |   READY |   RUNNING |
| 440 | 1 | RUNNING |   WAITING |
| 440 | 7 |   READY |   RUNNING |
| 445 | 1 | WAITING |     READY |
| 460 | 7 | RUNNING |   WAITING |
| 460 | 1 |   READY |   RUNNING |
| 470 | 1 | RUNNING |   WAITING |
| 470 | 7 | WAITING |     READY |
| 470 | 7 |   READY |   RUNNING |
| 475 | 1 | WAITING |     READY |
| 490 | 7 | RUNNING |   WAITING |
| 490 | 1 |   READY |   RUNNING |
| 500 | 1 | RUNNING |   WAITING |
| 500 | 7 | WAITING |     READY |
| 500 | 7 |   READY |   RUNNING |
| 505 | 1 | WAITING |     READY |
| 520 | 7 | RUNNING |   WAITING |
| 520 | 1 |   READY |   RUNNING |
| 530 | 1 | RUNNING |   WAITING |
| 530 | 7 | WAITING |     READY |
| 530 | 7 |   READY |   RUNNING |
| 535 | 1 | WAITING |     READY |
| 550 | 7 | RUNNING |   WAITING |
| 550 | 1 |   READY |   RUNNING |
| 560 | 1 | RUNNING |   WAITING |
| 560 | 7 | WAITING |     READY |
| 560 | 7 |   READY |   RUNNING |
| 565 | 1 | WAITING |     READY |
| 580 | 7 | RUNNING |   WAITING |
| 580 | 1 |   READY |   RUNNING |
| 590 | 1 | RUNNING |   WAITING |
| 590 | 7 | WAITING |     READY |
| 590 | 7 |   READY |   RUNNING |
| 595 | 1 | WAITING |     READY |
| 610 | 7 | RUNNING |   WAITING |
| 610 | 1 |   READY |   RUNNING |
| 620 | 1 | RUNNING | TERMINATED |
| 620 | 7 | WAITING |     READY |
| 620 | 7 |   READY |   RUNNING |
| 640 | 7 | RUNNING | TERMINATED |
| 640 | 9 |   READY |   RUNNING |
| 660 | 9 | RUNNING |   WAITING |
| 670 | 9 | WAITING |     READY |
| 670 | 9 |   READY |   RUNNING |
| 690 | 9 | RUNNING |   WAITING |
| 700 | 9 | WAITING |     READY |
| 700 | 9 |   READY |   RUNNING |
| 720 | 9 | RUNNING |   WAITING |
| 730 | 9 | WAITING |     READY |
| 730 | 9 |   READY |   RUNNING |
| 750 | 9 | RUNNING | TERMINATED |
+------------------------------------------------+
